date,county,year,T_day,T_night,T_avg
2023-08-13,King William,2023,28.36880506055052,23.218591240794073,26.645022611017456
2023-08-13,Henrico,2023,31.245068795311575,22.395214929189713,27.571874273172547
2023-08-13,New Kent,2023,28.525903611701395,22.62344206324373,26.17201644520096
2023-08-13,Charles City,2023,28.34099373016832,21.56555378893064,24.87900757477368
2023-08-13,Sussex,2023,28.36038107966268,20.39099834085069,24.12567580222938
2023-08-13,Chesterfield,2023,29.816882585954765,21.710893378779915,25.86801220815184
2023-08-13,Prince George,2023,28.896676096069996,20.18760348583884,24.139140670550603
2023-08-13,Caroline,2023,28.548964305352563,21.896153266696647,25.5134426160423
2023-08-13,Dinwiddie,2023,28.83110421475251,19.21674125858615,23.40698688024303
2023-08-13,Amelia,2023,28.45017391100297,21.238382701646888,25.464347914753123
2023-08-13,Rockingham,2023,28.228943731460618,17.880497988050728,22.25818704220803
2023-08-13,Poquoson,2023,29.227934324745775,22.81858377199983,26.261964503785745
2023-08-13,Chesapeake,2023,28.260408260220103,22.445450683230796,24.90169464308315
2023-08-13,Newport News,2023,30.840821236232276,24.634001856506544,27.879324530937417
2023-08-13,Portsmouth,2023,31.205892347981464,23.857200402819768,27.757875990446244
2023-08-13,Suffolk,2023,28.21042465200906,20.39547780832341,24.015741681705908
2023-08-13,Hampton,2023,31.36693417344364,23.796217199990824,28.013300068417223
2023-08-13,Virginia Beach,2023,29.22410977874148,24.034874350445794,26.291507813084024
2023-08-13,Norfolk,2023,32.6088454750888,24.76810019476306,28.52372456546933
2023-08-13,Williamsburg,2023,30.033715213358107,23.358920841063732,26.62050534499517
2023-08-13,Alexandria,2023,32.28829602356411,23.34385848642228,27.828115501519783
2023-08-13,Falls Church,2023,30.9231868745189,25.042372979214825,27.157075630252137
2023-08-13,Fairfax,2023,32.29371233477419,22.296199962413105,24.752638469285028
2023-08-13,Manassas Park,2023,32.669830059245434,19.97159292035402,26.5590265486726
2023-08-13,Manassas,2023,33.05504951085662,19.665693311582416,26.69797716150085
2023-08-13,Fredericksburg,2023,32.37403481072143,23.64081951806326,27.90134688931806
2023-08-13,Winchester,2023,32.40825880707112,21.354459281868696,25.97787104158721
2023-08-13,Emporia,2023,31.11436358894108,20.047899241392752,25.45185567010313
2023-08-13,Franklin,2023,30.04102262180978,24.080116009280772,26.44328886310908
2023-08-13,Charlottesville,2023,32.41233716297244,24.021567250783363,28.18675157634138
2023-08-13,Lynchburg,2023,29.22569792575365,21.56224352201871,24.65364098090532
2023-08-13,Richmond,2023,33.04940853580648,23.06206125531155,28.28376938732207
2023-08-13,Hopewell,2023,32.50866627748593,22.065347205612728,27.61836402774459
2023-08-13,Petersburg,2023,32.260235263240794,21.18257781743742,26.051163538591332
2023-08-13,Colonial Heights,2023,33.086656799259984,21.618673862115163,26.725703926818426
2023-08-13,Harrisonburg,2023,32.91887033376508,20.110402835525903,25.752046207104197
2023-08-13,Waynesboro,2023,30.08447160746636,19.2418983224384,24.766688535349587
