date,county,year,T_night
2024-03-18,Albemarle,2024,3.975302265045132
2024-03-18,Appomattox,2024,4.766663017515246
2024-03-18,Amelia,2024,4.673938763400869
2024-03-18,Fairfax,2024,2.490521205287256
2024-03-18,Franklin,2024,7.168306264501193
2024-03-18,Richmond,2024,6.757707806392305
2024-03-25,Roanoke,2024,7.345317685004437
2024-03-25,Alleghany,2024,4.792423535423878
2024-03-25,Amherst,2024,5.9083273936636145
2024-03-25,Franklin,2024,8.321881845058371
2024-03-25,Roanoke,2024,7.808846819969635
2024-03-25,Fairfax,2024,4.281813902549805
2024-03-25,Richmond,2024,5.302814916769053
2024-03-25,Accomack,2024,6.4932046675067685
2024-03-25,Albemarle,2024,4.8722312939232415
2024-03-25,Appomattox,2024,6.311471173852199
2024-03-25,Amelia,2024,5.80193738336767
2024-03-25,Fairfax,2024,4.409044039341003
2024-03-25,Franklin,2024,7.06412935034806
2024-03-25,Richmond,2024,6.574936173066632
2024-04-01,Roanoke,2024,7.2062980971922
2024-04-01,Alleghany,2024,3.775119389990977
2024-04-01,Amherst,2024,6.094054669800737
2024-04-01,Franklin,2024,6.603484134981894
2024-04-01,Roanoke,2024,6.394621847022664
2024-04-01,Fairfax,2024,4.5540720724726
2024-04-01,Richmond,2024,4.490334866661075
2024-04-01,Accomack,2024,6.165831783625992
2024-04-01,Albemarle,2024,4.082956138983744
2024-04-01,Appomattox,2024,5.557168802799033
2024-04-01,Amelia,2024,3.955441781553493
2024-04-01,Fairfax,2024,4.7461980830671235
2024-04-01,Franklin,2024,8.81866589327149
2024-04-01,Richmond,2024,5.911078408607177
2024-04-08,Roanoke,2024,10.77271180565318
2024-04-08,Alleghany,2024,9.219038072868813
2024-04-08,Amherst,2024,9.197230210130645
2024-04-08,Franklin,2024,10.019824724207137
2024-04-08,Roanoke,2024,10.071388507145146
2024-04-08,Fairfax,2024,9.499060023502144
2024-04-08,Richmond,2024,8.630781421881593
2024-04-08,Accomack,2024,10.146501758350944
2024-04-08,Albemarle,2024,8.516408717626486
2024-04-08,Appomattox,2024,7.942182806134242
2024-04-08,Amelia,2024,8.905972604943997
2024-04-08,Fairfax,2024,10.129902274008668
2024-04-08,Franklin,2024,10.601670533642723
2024-04-08,Richmond,2024,11.61765281290722
2024-04-15,Roanoke,2024,17.250294564039056
