date,county,T_day,T_night,T_avg
2025-01-29,Brunswick,13.97724816935292,6.4164398386238775,10.968620859916976
2025-01-29,Lancaster,10.309191883715302,2.1619479402116872,6.090063438585638
2025-01-29,Richmond,10.613224440317458,2.3697895743633857,6.762362720949713
2025-01-29,Mecklenburg,12.5911930877224,5.27824674306393,9.303189946118373
2025-01-29,Accomack,8.450110036772577,2.1678215736319504,4.242746344358361
2025-01-29,Greensville,14.487049381253213,6.276530817486748,11.029300971363076
2025-01-29,Page,8.93389290994677,0.609397457367179,5.024534437235952
2025-01-29,Westmoreland,10.254105036671389,1.8357028717018469,6.198953814594483
2025-01-29,Nottoway,14.17871302893642,5.88646435211132,10.957141626166283
2025-01-29,King George,10.778976628668996,3.006730056402613,7.55189651889347
2025-01-29,Prince Edward,14.33087234095633,4.534277639257898,10.99976708076448
