satellite,year,month,month_name,date,peak_NDVI,peak_GOSAVI,peak_GDVI,peak_EVI,peak_CVI,image_count,data_available,has_blue_band,total_corn_area_m2
Landsat5_TM,1999.0,8.0,Aug,1999-08,0.7228262443830827,0.49471658352453574,0.9381978913082568,0.5646277319836637,4.577212479626283,28,true,true,2.3231864894117637E9
Landsat5_TM,1999.0,9.0,Sep,1999-09,0.7083631213898945,0.4793705361493876,0.9346456388266553,0.49990408255421726,4.542825539401902,18,true,true,2.3231864894117637E9
Landsat5_TM,2000.0,5.0,May,2000-05,0.6208791062664744,0.4362181784341226,0.869418286322241,0.4511684896734622,3.956142172386465,24,true,true,2.3231864894117637E9
Landsat5_TM,2000.0,6.0,Jun,2000-06,0.6420417183068763,0.4514227106967424,0.8840560334195994,0.48560917832102185,4.2247063139206,23,true,true,2.3231864894117637E9
Landsat5_TM,2000.0,7.0,Jul,2000-07,0.7027463422821499,0.4850678745302011,0.9182306879446456,0.5448539179407815,4.524656128319317,21,true,true,2.3231864894117637E9
Landsat5_TM,2000.0,8.0,Aug,2000-08,0.7752841842675853,0.5277261661523115,0.9611884510539899,0.6863919933634882,4.28516099468381,25,true,true,2.3231864894117637E9
Landsat5_TM,2000.0,9.0,Sep,2000-09,0.7137766781411139,0.482741391961407,0.9315349609648211,0.5591891340669449,4.642511031180302,26,true,true,2.3231864894117637E9
Landsat5_TM,2001.0,5.0,May,2001-05,0.5840950570165749,0.42434433716051156,0.845892427944835,0.4544964026187747,3.7460908282671492,29,true,true,2.3231864894117637E9
Landsat5_TM,2001.0,6.0,Jun,2001-06,0.7117129018475871,0.4984152734663305,0.9362102184692016,0.5865648626123066,4.593606552955969,25,true,true,2.3231864894117637E9
Landsat5_TM,2001.0,7.0,Jul,2001-07,0.7028283771110334,0.4956283673240458,0.9287020797391692,0.5592200082417039,4.6167147685360455,27,true,true,2.3231864894117637E9
Landsat5_TM,2001.0,8.0,Aug,2001-08,0.7708704658685555,0.5242050531302075,0.958621671431069,0.6298355683475603,4.830438948925652,30,true,true,2.3231864894117637E9
Landsat5_TM,2001.0,9.0,Sep,2001-09,0.7005245199923776,0.4816225946809595,0.9271630661463243,0.5218331221283514,4.7182119086490735,19,true,true,2.3231864894117637E9
Landsat5_TM,2002.0,5.0,May,2002-05,0.5835783125699312,0.42305768732995636,0.8502376334889079,0.46490163456105144,6.414562618138091,18,true,true,2.3231864894117637E9
Landsat5_TM,2002.0,6.0,Jun,2002-06,0.6211665164487263,0.4511952103984603,0.8755572454296336,-0.007739561262435624,9.277423949037058,18,true,true,2.3231864894117637E9
Landsat5_TM,2002.0,7.0,Jul,2002-07,0.6849380343195808,0.47330574125044667,0.916785314830896,0.5646225279199641,4.425129514667455,25,true,true,2.3231864894117637E9
